"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jul 15 08:55:37 UTC 2024","Mon Jul 15 08:55:37 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"failed","Mon Jul 15 07:59:03 UTC 2024","Mon Jul 15 07:59:16 UTC 2024","13505","","21. Forgot password function","","","","2. Reset password",""
"passed","Mon Jul 15 05:59:25 UTC 2024","Mon Jul 15 05:59:42 UTC 2024","17196","","9. Client Portal - Home","","","","1. Check links",""
"skipped","Mon Jul 15 06:47:24 UTC 2024","Mon Jul 15 06:47:24 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Mon Jul 15 07:23:10 UTC 2024","Mon Jul 15 07:23:22 UTC 2024","12678","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Mon Jul 15 07:08:04 UTC 2024","Mon Jul 15 07:08:15 UTC 2024","10399","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Mon Jul 15 07:08:15 UTC 2024","Mon Jul 15 07:08:16 UTC 2024","1692","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Mon Jul 15 07:58:59 UTC 2024","Mon Jul 15 07:59:03 UTC 2024","4215","","21. Forgot password function","","","","1. Direct to forgot password page",""
"skipped","Mon Jul 15 06:15:39 UTC 2024","Mon Jul 15 06:15:39 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Mon Jul 15 07:23:35 UTC 2024","Mon Jul 15 07:23:39 UTC 2024","4306","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"skipped","Mon Jul 15 06:15:39 UTC 2024","Mon Jul 15 06:15:39 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"skipped","Mon Jul 15 08:55:37 UTC 2024","Mon Jul 15 08:55:37 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Mon Jul 15 06:28:56 UTC 2024","Mon Jul 15 06:29:01 UTC 2024","5027","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"failed","Mon Jul 15 06:24:23 UTC 2024","Mon Jul 15 06:26:41 UTC 2024","138509","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Mon Jul 15 07:07:41 UTC 2024","Mon Jul 15 07:07:51 UTC 2024","10526","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"skipped","Mon Jul 15 06:15:39 UTC 2024","Mon Jul 15 06:15:39 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"skipped","Mon Jul 15 06:15:39 UTC 2024","Mon Jul 15 06:15:39 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Mon Jul 15 07:07:59 UTC 2024","Mon Jul 15 07:08:04 UTC 2024","5081","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"skipped","Mon Jul 15 06:47:24 UTC 2024","Mon Jul 15 06:47:24 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Mon Jul 15 06:29:01 UTC 2024","Mon Jul 15 06:29:03 UTC 2024","1544","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Mon Jul 15 07:07:51 UTC 2024","Mon Jul 15 07:07:54 UTC 2024","2621","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"failed","Mon Jul 15 05:54:45 UTC 2024","Mon Jul 15 05:57:40 UTC 2024","174866","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Mon Jul 15 07:08:17 UTC 2024","Mon Jul 15 07:08:28 UTC 2024","11645","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Mon Jul 15 07:23:32 UTC 2024","Mon Jul 15 07:23:35 UTC 2024","2356","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"skipped","Mon Jul 15 08:55:37 UTC 2024","Mon Jul 15 08:55:37 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"skipped","Mon Jul 15 08:55:37 UTC 2024","Mon Jul 15 08:55:37 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"skipped","Mon Jul 15 06:15:39 UTC 2024","Mon Jul 15 06:15:39 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Mon Jul 15 06:28:40 UTC 2024","Mon Jul 15 06:28:55 UTC 2024","14481","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Mon Jul 15 07:16:18 UTC 2024","Mon Jul 15 07:16:29 UTC 2024","11785","","18. Check Admin header","","","","1. Log in using manager login",""
"skipped","Mon Jul 15 06:47:24 UTC 2024","Mon Jul 15 06:47:24 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Mon Jul 15 07:23:22 UTC 2024","Mon Jul 15 07:23:32 UTC 2024","9718","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Mon Jul 15 06:24:21 UTC 2024","Mon Jul 15 06:24:23 UTC 2024","1677","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Mon Jul 15 06:28:55 UTC 2024","Mon Jul 15 06:28:56 UTC 2024","1544","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Mon Jul 15 07:07:54 UTC 2024","Mon Jul 15 07:07:57 UTC 2024","2915","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Mon Jul 15 07:16:30 UTC 2024","Mon Jul 15 07:20:41 UTC 2024","251048","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Mon Jul 15 07:07:57 UTC 2024","Mon Jul 15 07:07:59 UTC 2024","2192","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"skipped","Mon Jul 15 06:47:24 UTC 2024","Mon Jul 15 06:47:24 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Mon Jul 15 06:24:09 UTC 2024","Mon Jul 15 06:24:21 UTC 2024","12489","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"skipped","Mon Jul 15 08:55:37 UTC 2024","Mon Jul 15 08:55:37 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"failed","Mon Jul 15 06:51:25 UTC 2024","Mon Jul 15 06:51:44 UTC 2024","19241","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"broken","Mon Jul 15 06:15:39 UTC 2024","Mon Jul 15 06:15:39 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Mon Jul 15 06:24:23 UTC 2024","Mon Jul 15 06:24:23 UTC 2024","228","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"failed","Mon Jul 15 07:11:08 UTC 2024","Mon Jul 15 07:13:40 UTC 2024","152232","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"skipped","Mon Jul 15 06:15:39 UTC 2024","Mon Jul 15 06:15:39 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"skipped","Mon Jul 15 06:47:24 UTC 2024","Mon Jul 15 06:47:24 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"broken","Mon Jul 15 06:47:24 UTC 2024","Mon Jul 15 06:47:24 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"broken","Mon Jul 15 08:55:37 UTC 2024","Mon Jul 15 08:55:37 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"skipped","Mon Jul 15 06:15:39 UTC 2024","Mon Jul 15 06:15:39 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"failed","Mon Jul 15 07:08:28 UTC 2024","Mon Jul 15 07:11:08 UTC 2024","159829","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
